,Te,ne,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9,nHp,nH2p,nH3p,nHm
3493,6.096261736963802,1.2389133331863084e+16,9.169951516257294e+18,7.358534284440091e+16,3.163494322914613e+20,4.8304954044026765e+17,1.626849904179254e+17,1.132642524746746e+17,8.799397357582589e+16,7.13619974163823e+16,5.3925964759822584e+16,4.312805661718566e+16,3.3554609106213364e+16,2.6113344026071436e+16,3570258445546368.0,744182687111059.2,8211105376082515.0,136413176876858.84
3494,6.0962612841808985,1.2389135022446906e+16,9.169964852816337e+18,7.358534392221035e+16,3.1634942559483534e+20,4.8304958415836685e+17,1.6268498988182432e+17,1.1326425008933546e+17,8.799397088032714e+16,7.136199453095614e+16,5.392596245584046e+16,4.312805463263582e+16,3.355460739051696e+16,2.6113342598986604e+16,3570260969783685.0,744182608471685.0,8211104607171483.0,136413162979945.72
3495,6.096260831516731,1.2389136712588234e+16,9.169978185888084e+18,7.358534499974322e+16,3.1634941889996037e+20,4.830496278650124e+17,1.626849893458617e+17,1.1326424770461931e+17,8.799396818553267e+16,7.1361991646284056e+16,5.392596015246045e+16,4.3128052648604616e+16,3.355460567526898e+16,2.611334117227478e+16,3570263493360683.0,744182529852895.5,8211103838461332.0,136413149086675.97
3496,6.096260378971279,1.2389138402287148e+16,9.169991515473187e+18,7.358534607699954e+16,3.163494122068362e+20,4.830496715602064e+17,1.6268498881003757e+17,1.1326424532052605e+17,8.799396549144234e+16,7.136198876236588e+16,5.39259578496824e+16,4.3128050665091944e+16,3.3554603960469344e+16,2.6113339745935896e+16,3570266016277486.0,744182451254687.0,8211103069952024.0,136413135197048.92
3497,6.096259926544519,1.2389140091543732e+16,9.170004841572296e+18,7.358534715397936e+16,3.163494055154625e+20,4.83049715243951e+17,1.6268498827435187e+17,1.1326424293705555e+17,8.799396279805603e+16,7.1361985879201496e+16,5.392595554750622e+16,4.3128048682097704e+16,3.3554602246117964e+16,2.611333831996988e+16,3570268538534217.0,744182372677055.4,8211102301643523.0,136413121311063.9
3498,6.0962594742364296,1.2389141780358068e+16,9.170018164186062e+18,7.358534823068277e+16,3.1634939882583884e+20,4.830497589162483e+17,1.6268498773880458e+17,1.132642405542077e+17,8.79939601053736e+16,7.136198299679075e+16,5.39259532459318e+16,4.31280466996218e+16,3.355460053221476e+16,2.6113336894376664e+16,3570271060131000.0,744182294119997.0,8211101533535790.0,136413107428720.22
3499,6.096259022046986,1.2389143468730238e+16,9.170031483315138e+18,7.35853493071098e+16,3.16349392137965e+20,4.830498025771006e+17,1.6268498720339568e+17,1.1326423817198238e+17,8.799395741339491e+16,7.13619801151335e+16,5.3925950944959016e+16,4.312804471766414e+16,3.3554598818759644e+16,2.611333546915618e+16,3570273581067958.0,744182215583508.0,8211100765628790.0,136413093550017.17
3500,6.096258569976169,1.2389145156660328e+16,9.170044798960174e+18,7.358535038326046e+16,3.1634938545184054e+20,4.830498462265099e+17,1.6268498666812512e+17,1.1326423579037949e+17,8.799395472211986e+16,7.136197723422962e+16,5.392594864458776e+16,4.312804273622463e+16,3.355459710575254e+16,2.6113334044308356e+16,3570276101345214.5,744182137067584.4,8211099997922483.0,136413079674954.1
3501,6.096258118023954,1.2389146844148422e+16,9.170058111121821e+18,7.358535145913486e+16,3.163493787674653e+20,4.8304988986447834e+17,1.6268498613299293e+17,1.132642334093989e+17,8.799395203154827e+16,7.136197435407895e+16,5.392594634481793e+16,4.312804075530317e+16,3.355459539319336e+16,2.6113332619833124e+16,3570278620962893.5,744182058572222.2,8211099230416835.0,136413065803530.3
3502,6.096257666190319,1.2389148531194596e+16,9.170071419800731e+18,7.358535253473304e+16,3.163493720848388e+20,4.830499334910082e+17,1.6268498559799907e+17,1.132642310290405e+17,8.799394934168006e+16,7.136197147468137e+16,5.39259440456494e+16,4.3128038774899656e+16,3.355459368108202e+16,2.6113331195730412e+16,3570281139921118.0,744181980097417.9,8211098463111806.0,136413051935745.08
