,Te,ne,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9,nHp,nH2p,nH3p,nHm
2427,6.2328736731851055,1.1893812488554484e+16,5.116112686193694e+18,7.298076420614088e+16,3.184228410443962e+20,4.5174071104787296e+17,1.5390418287255744e+17,1.0922949312583685e+17,8.609045720250741e+16,7.066796135852344e+16,5.3774560286191256e+16,4.3255089346903416e+16,3.3812869249165916e+16,2.640863761000926e+16,2788911722540899.0,769342731596284.0,8461937568820709.0,126379534403408.69
2428,6.232844670643506,1.1893915532127636e+16,5.116995567140119e+18,7.298142453348654e+16,3.184223405083909e+20,4.517697637145939e+17,1.539170385964239e+17,1.092366367185104e+17,8.609473298264643e+16,7.067050146094052e+16,5.377597872020544e+16,4.325589467073866e+16,3.3813309642361984e+16,2.6408860207437668e+16,2789091628394081.0,769337509365223.1,8461882670498729.0,126396276130396.12
2429,6.232815674709914,1.1894018551044226e+16,5.117878259951861e+18,7.298208348347517e+16,3.1842184015006125e+20,4.5179877952685184e+17,1.5392987692257334e+17,1.0924376968766504e+17,8.60990017718796e+16,7.0673036971803096e+16,5.3777394334857e+16,4.325669819780997e+16,3.3813748904758228e+16,2.6409082109205496e+16,2789271477557170.5,769332287917405.8,8461827784363257.0,126412998793606.89
2430,6.232786685382172,1.1894121545307702e+16,5.118760764667389e+18,7.298274105806718e+16,3.184213399692819e+20,4.518277585284659e+17,1.5394269787207034e+17,1.0925089204719171e+17,8.610326357994619e+16,7.067556789779685e+16,5.377880713437971e+16,4.325749993087187e+16,3.3814187038106896e+16,2.6409303316390548e+16,2789451270068073.5,769327067253342.4,8461772910398126.0,126429702411839.17
2431,6.232757702658161,1.189422451492137e+16,5.119643081325179e+18,7.29833972592095e+16,3.184208399659279e+20,4.518567007631669e+17,1.5395550146595475e+17,1.0925800381095978e+17,8.610751841656586e+16,7.067809424559037e+16,5.378021712299411e+16,4.325829987266834e+16,3.3814624044152244e+16,2.640952383006459e+16,2789631005964517.5,769321847373550.6,8461718048587197.0,126446387003893.64
2432,6.2327287265358,1.1894327459888392e+16,5.120525209963709e+18,7.298405208883558e+16,3.1842034013987445e+20,4.518856062745971e+17,1.5396828772524182e+17,1.0926510499281688e+17,8.61117662914385e+16,7.068061602183511e+16,5.378162430490749e+16,4.325909802593285e+16,3.3815059924630504e+16,2.6409743651293372e+16,2789810685284052.5,769316628278555.5,8461663198914358.0,126463052588573.47
2433,6.232699757013041,1.1894430380211778e+16,5.121407150621467e+18,7.298470554886547e+16,3.184198404909968e+20,4.519144751063105e+17,1.5398105667092205e+17,1.09272195606589e+17,8.611600721424438e+16,7.068313323316541e+16,5.378302868431389e+16,4.325989439338836e+16,3.38154946812699e+16,2.640996278113662e+16,2789990308064051.0,769311409968888.6,8461608361363523.0,126479699184684.34
2434,6.232670794087876,1.1894533275894396e+16,5.122288903336942e+18,7.29853576412057e+16,3.184193410191708e+20,4.519433073017728e+17,1.5399380832396128e+17,1.0927927566608046e+17,8.612024119464406e+16,7.068564588619849e+16,5.3784430265394104e+16,4.32606889777473e+16,3.3815928315790652e+16,2.6410181220648028e+16,2790169874341706.0,769306192445089.5,8461553535918634.0,126496326811034.4
2435,6.232641837758334,1.1894636146938962e+16,5.123170468148632e+18,7.298600836774936e+16,3.1841884172427205e+20,4.519721029043611e+17,1.5400654270530064e+17,1.0928634518507392e+17,8.612446824227842e+16,7.068815398753443e+16,5.37858290523157e+16,4.3261481781711576e+16,3.3816360829904964e+16,2.641039897087527e+16,2790349384154033.5,769300975707704.1,8461498722563658.0,126512935486434.33
2436,6.232612888022477,1.1894738993348052e+16,5.12405184509504e+18,7.298665773037613e+16,3.184183426061768e+20,4.520008619573643e+17,1.5401925983585654e+17,1.0929340417733038e+17,8.612868836676864e+16,7.069065754375623e+16,5.3787225049232984e+16,4.32622728079726e+16,3.381679222531703e+16,2.641061603286e+16,2790528837537872.0,769295759757285.9,8461443921282592.0,126529525229697.23
